Ensembl_ID	PD1-001	PD1-003	PD1-004	PD1-005	PD1-011	PD1-017	PD1-019	PD1-020	PD1-027
ENSG00000115539	278.47	550.43	344.59	185.76	559.36	432.28	35.48	590.02	421.56
ENSG00000115540	58.22	816.9	405.23	113.38	483.68	523.08	30	634.53	274.64
ENSG00000115541	1583.92	3867.07	1647.89	1595.11	3412.84	2960.17	73.83	3397.16	1745.79
ENSG00000115548	1290	2997	2232	2022	6542	5453	353	6090	3716
ENSG00000115556	53.39	484.04	57.14	92.24	267.88	83.24	134.99	88.64	84.14
ENSG00000115561	923.17	1977.55	1170.88	850.52	3504	1041.7	220.9	2081.78	1894.71
ENSG00000115568	2803	5000	3719	3144	7076	7822	1131	5824	7132
ENSG00000115590	1	49	424	125	254	594	165	7	16
ENSG00000115592	1	0	3	2	2	1	104	8	2
ENSG00000115593	0	84	0	17	1	0	102	0	0
ENSG00000115594	65	1029	1980	357	6524	1059	139	946	300
ENSG00000115596	37	6	14	16	24	70	104	111	715
ENSG00000115598	5	54	40	13	152	28	84	120	37
ENSG00000115602	3	178	27	27	904	71	321	22	20
ENSG00000115604	5	130	729	259	745	159	60	166	178
ENSG00000115607	2	61	155	23	314	112	99	26	13
ENSG00000115616	102	320	210	2324	990	24	249	205	14
ENSG00000115641	393	461	631	351	3738	196	404	681	763
ENSG00000115648	8	474	34	32	337	132	219	79	87
ENSG00000115649	1476.92	1549.73	845.81	476.55	1310.88	1083.35	178.92	1607	1927.6
ENSG00000115652	425	2153	1182	774	2590	1531	327	1219	1250
ENSG00000115657	743.99	2891.04	1147.25	715.83	1604.49	1188.18	347.62	1933.39	4161.12
ENSG00000115661	245	617	404	380	727.93	653	169	789	666
ENSG00000115665	0	4	0	4	42	0	141	2	0
ENSG00000115677	8540	25230	16555	15219	42090	22518	449	31820	19214
ENSG00000115685	319.86	1178.87	469.13	297.26	889.12	517.43	97.66	786.74	554.59
ENSG00000115687	1357.14	41139.13	1313.87	707.74	2689.88	5339.57	489.34	726.26	5848.41
ENSG00000115694	2379.29	4597.17	2111.22	1864.38	3850.43	4017.17	390.98	3901.83	5612.13
ENSG00000115705	7	18	119	73	218	646	454	21	2
ENSG00000115718	58	227	30	30	52	339	163	159	30
ENSG00000115738	474	386	1036	913	1336.95	2339	63	836	1991
ENSG00000115750	91	1148	736	275	890	973	66	497	687
ENSG00000115756	130	474	703	641	845	373	77	426	1866
ENSG00000115758	984	3308	3363	1659	4295	14543	92	3727	2816
ENSG00000115760	4862	31597	31752	15588	61041	54588	1092	44473	22464
ENSG00000115761	212	1240	946	472	1563.77	1435.99	56.71	1276	788
ENSG00000115762	401	480.47	505	330	778.73	452	45.2	1002.87	625
ENSG00000115806	607	2445	1329	966	2768	1540	118	1949	1515
ENSG00000115808	637.32	1914.87	1473.99	688	3618.82	2646	115.64	2268	1591
ENSG00000115816	619.49	3177.08	3048.55	1245.75	4766.78	3621.65	227.46	3919.36	2201.02
ENSG00000115825	70	1791.32	1123.18	567.49	2378.35	2005.21	129.24	538.86	562
ENSG00000115827	131	822	572	272	1516	977.3	91.57	1093	603
ENSG00000115828	28	212	68	117	164	104	50	69	40
ENSG00000115839	304	1479	1129	553	2124	905	67	1255	1014
ENSG00000115840	508	935	1555	652	2895	798	87	1810	1073
ENSG00000115841	1	293.68	178	135	430.49	171	118.47	136	98.76
ENSG00000115844	67	8	0	36	13	76	216	14	78
ENSG00000115850	174	31	36	11	57	74	777	76	84
ENSG00000115866	191.07	1306.95	821	536.9	1727.62	638.89	22.22	1476.84	725.5
ENSG00000115875	1247	4710	7958	4662	9112	9700	186	9196	7908
ENSG00000115884	1915	519	855	625	1644	4558	211	2450	2608
ENSG00000115896	51	480	698	216	1323	277	367	181	2729
ENSG00000115902	790	1301	1294	434	1307	4248	208	1206	2938
ENSG00000115904	845	2398	8894	3694	15963	3446	218	9878	2004
ENSG00000115919	9	106	4188	101	5966	391	26	4368	26
ENSG00000115934	0	0	0	0	0	0	0	0	0
ENSG00000115935	826.75	3703.99	8076	3621.94	13902.87	6088.94	720.14	3690.95	1343
ENSG00000115942	144	1109	1123	465	1998	957	55	1067	726
ENSG00000115944	565	1497	612	465	950	1257	91	1753	778
ENSG00000115946	285.67	622.79	289.1	170.06	512.63	537.44	15.66	486.48	344.01
ENSG00000115947	69	919	445	173	661	414	44	618	328
ENSG00000115956	38	197	1473	1089	882	1479	49	158	38
ENSG00000115963	70	399	227	201	1296	489	73	355	696
ENSG00000115966	202	1055	1053	565	2094	857	53	1312	735
ENSG00000115970	931	4959	5222.97	2318	9923.88	8955.93	439.21	6274	6037.85
ENSG00000115977	438	2325	5419	1969	16861	6868	923	5507	2623
ENSG00000115993	228.69	3270.72	1523.68	891.78	5218.2	1954.88	226.52	1834	1235.89
ENSG00000115998	134.07	508	367	240	727	728	169.82	697	417
ENSG00000116001	944.93	3940	5660	3168	10195	3821	132.18	5861	6383
ENSG00000116005	309	1690	363	213	1160	747	105	1017	280
ENSG00000116014	2	27	12	10	14	8	82	48	84
ENSG00000116016	1119	7457	4635	2450	17978	6668	410	4117	5328
ENSG00000116017	758	862	823	567	1064	2164	310	729	3310
ENSG00000116030	201.77	921.91	642.02	384.83	745.69	514.4	14.66	780.98	498.76
ENSG00000116031	10	201	15	1	91	5	69	17	26
ENSG00000116032	179	74	38	35	194	142	307	71	128
ENSG00000116035	14	8	14	20	69	47	174	82	378
ENSG00000116039	984	21	18	22	68	12	44	441	143
ENSG00000116044	858.43	7198.28	8311.16	3754.67	17443.25	5425.06	488.21	9152.6	6102.92
ENSG00000116062	1110.03	5673.29	6210.55	3597.78	9867.05	14003.77	535.94	4522.81	7720.86
ENSG00000116095	125	371.8	340.93	204.56	1078.13	325.89	39	318.89	263
ENSG00000116096	306	261	161	296	389	363	151	270	80
ENSG00000116106	294	2476	9616	7497	6869	4326	322	1460	282
ENSG00000116117	123	528	1507	1640	2744	2498	156	355	460
ENSG00000116120	246	2131	1066	553	1873	1396	33	2113	1002
ENSG00000116127	2051	16417	8770	4866	20029	20301	1740	11028	21363
ENSG00000116128	243	1598	1005	1132	2144	909	484	1466	1459
ENSG00000116132	106	1905	533	2533	2173	4057	100	602	199
ENSG00000116133	669	2347.86	824	490	1332.72	2514.61	570.54	2071.89	3259.47
ENSG00000116138	408	2109.24	1543	942	2360.57	1539	203	3208	1405
ENSG00000116141	37	1082	1186	5488	3442	2973	200	236	956
ENSG00000116147	1	47	19	9	219	5	498	24	3
ENSG00000116151	436	946	484	346	758	463	218	552	978
ENSG00000116157	122	343	125	34	464	131	92	278	32
ENSG00000116161	397.23	1736.73	884.99	474.42	1534.22	1059.96	143.54	1616.57	684.77
ENSG00000116171	336.63	1377.73	958.42	518.21	1520.82	1289.64	112.06	1318.6	751.86
ENSG00000116176	14	12	8	11	110	2	84	15	23
ENSG00000116183	5	44	53	32	1266	633	677	37	5
ENSG00000116191	66	569	655	117	2179	145	25	2283	201
ENSG00000116194	40	270	604	112	3233	145	184	1397	80
ENSG00000116198	324	2322	1311	776	2476	1072	198	2228	1895
ENSG00000116199	393	1194	901	722	1508	1187	116	1584	1025
ENSG00000116205	37	231	175	140	335	307	77	211	243
ENSG00000116209	1216	3795	3525	1440	4619	2072	149	4490	3434
ENSG00000116212	272	931	412	656	713	549	168	540	908
ENSG00000116213	321	1127	1511	1424	2028	2030	470	1388	3062
ENSG00000116218	0	2.11	0	3	6	3	112.07	8	0
ENSG00000116221	2419.86	5715.92	2171.95	1730.33	3430.19	4189.16	295.28	5179.83	4183.15
ENSG00000116237	172	1203	658	367	830	670	64	947	964
ENSG00000116251	1031.83	5698.02	3636.4	4037.81	5118.51	3023.29	122.79	7919	3606.88
ENSG00000116254	9	778	15	31	24	9	239	24	287
ENSG00000116260	655	1805	443	298	1263	785	222	1516	1020
ENSG00000116266	410	1952	1812	697	3212	1170	67	2086	1230
ENSG00000116273	115	300	152	170	304	207	89	177	603
ENSG00000116285	176	1435	1473	1325	6119	7115	291	1347	1455
ENSG00000116288	1212	4179	2841	2376	4133	2006	107	4663	2723
ENSG00000116299	299	74	380	2938	895	80	420	167	32
ENSG00000116329	0	3	0	21	1	0	172	0	5
ENSG00000116337	1348.27	1897.41	2352.61	3574.08	3796.07	2077	584.26	2802.67	1672.33
ENSG00000116350	1168	3333	3994	2393	6626	3410	238	4563	6437
ENSG00000116353	332	801	390	264	693	696	148	767	772
ENSG00000116396	1826	1500	3935	1883	3258	265	591	2120	1747
ENSG00000116406	617	2284	3134	1646	7265	2623	222	4383	1353
ENSG00000116455	2082.82	1546.3	1092.81	876.53	946.17	1312.11	175.94	2923.74	1575.39
ENSG00000116459	766.93	1724.23	1041.5	547.29	1732.55	892.77	134.34	2950.59	1006.9
ENSG00000116473	13	198	253	107	531.78	152	3	183	135
ENSG00000116478	1777	3675	1381	998	2502	3188	110	2996	3199
ENSG00000116489	220.97	2854.99	2804	985	4077.27	1916.98	62.77	3139	1404
ENSG00000116497	405	1252	1370	847	2301	2136	131	1264	1916
ENSG00000116514	430	1310	4576	2865	5554	8251	573	1358	2002
ENSG00000116521	772	1537	1092	705	1318	2051	173	1814	1091
ENSG00000116525	827.89	806	341.97	306.98	691.87	664.96	316	586	1100.95
ENSG00000116539	3656.41	15265.98	26162.97	14798.97	46882.48	19585.88	1401.76	32089.95	16659.75
ENSG00000116544	0	0	0	1	0	0	6	0	0
ENSG00000116560	6971	20681	25780	14336	45252	31426	887	39432	31706
ENSG00000116574	110	287	310	95	946	130	205	232	148
ENSG00000116580	2065.76	5744.56	6570.18	5071.49	13491.19	7876.19	1236.4	9702.5	7376.39
ENSG00000116584	5305	4802	10650	9642	16517	4732	793	15088	12318
ENSG00000116586	355	717	541	471	891	785	104	1211	510
ENSG00000116604	1829	2231	2421	1771	5474	1904	312	5157	2799
ENSG00000116641	513	3843	3478	1693	6802	4948	328	3542	4035
ENSG00000116649	688	2325	1194	940	1631	2112	213	1977	1517
ENSG00000116652	0	0	0	0	0	0	0	0	0
ENSG00000116661	38	2630	162	249	229	27	95	75	130
ENSG00000116663	126.01	815.53	569.07	199.98	357.77	691.96	116.86	255.5	194
ENSG00000116667	29	269	1626	382	3302	452	26	460	528
ENSG00000116668	52	504	494	287	979	316	113	524	214
ENSG00000116670	105	951	386	260	497	720	147	450	1837
ENSG00000116675	32	1369	28	20	154	28	326	189	92
ENSG00000116678	34.2	882.43	1044.32	271.07	2780.69	2027.61	375.02	762.13	160.14
ENSG00000116679	780	2242	3524	2728	12669	3511	188	5394	4813
ENSG00000116685	576.18	3084.49	1205.55	712.69	1800.76	1676.46	427.03	1711.48	2471.69
ENSG00000116688	1650	3661	3129	1956	3843	2664	156	5671	7419
ENSG00000116690	113.05	272.16	1182.39	297.08	637.04	683.64	1329.53	938.55	73.01
ENSG00000116691	570	683	589	631	690	904	244	888	1037
ENSG00000116698	1938	7642	7025	4071	11572	8461	662	12352	5141
ENSG00000116701	282	783	964	625	1024	1017	149	785	169
ENSG00000116703	4	30	53	13	82	12	54	92	16
ENSG00000116704	167	402	298	142	520	699	73	373	358
ENSG00000116711	6	39	187	61	256	85	49	40	37
ENSG00000116717	390	288	857	2777	2202	1193	96	713	5494
ENSG00000116721	6.03	1	0	21.27	7.65	0	954.4	123.36	0
ENSG00000116726	30	0	0	1	3	0	353	112	0
ENSG00000116729	243	5620	620	403	4087	342	430	901	795
ENSG00000116731	1252	4647	10689	6652	11368	4187	521	4885	4656
ENSG00000116741	104	257	685	742	2292	279	73	177	472
ENSG00000116745	0	20	1	4	10	2	46	0	0
ENSG00000116747	368.56	3360.27	3546.32	1545.01	5428.36	2450.86	303.45	4369.14	1719.86
ENSG00000116748	1	6	55	13	258	1	79	11	5
ENSG00000116750	724.44	1509.73	1158.68	845.99	2152.64	1406.14	332.55	2349.86	1041.14
ENSG00000116752	98	517.99	280.93	119	459.09	197	15	406	285
ENSG00000116754	2082	13506	13836	7348	19235.99	8416	433	20044	12117
ENSG00000116761	5	177	66	31	179	177	48	59	75
ENSG00000116771	11	160.76	55	56	117.43	111	51	85	50
ENSG00000116774	286	267	834	864	2431	318	276	884	936
ENSG00000116783	4.04	40.99	77.71	20.43	14.62	0	109.95	41.62	7.5
ENSG00000116785	1	21	162.7	0	52.82	7.81	144.52	165.97	9
ENSG00000116786	1125	2757.95	2133	1921	3527.88	2948.92	251.8	2303	3535.93
ENSG00000116791	75.36	472.12	457.4	669.98	1217.48	631.2	76.31	652.88	255.67
ENSG00000116793	326	898	617	275	1062	574	169	594	334
ENSG00000116809	707	1475	1296	1409	2446	1877	468	1525	3634
ENSG00000116815	35	419	632	368	1097	665	38	464	191
ENSG00000116819	44	147	68	36	133	117	202	140	49
ENSG00000116824	20	368	1597	322	897	945	126	178	8
ENSG00000116830	1036	2392	3488	1979	3909	5927	315	2988	2921
ENSG00000116833	4	110	112	336	462	154	199	48	52
ENSG00000116852	142	1957	1217	460	2327	988	522	468	1204
ENSG00000116857	150	1198	381	311	675	412	71	571	727
ENSG00000116863	397	1052	300	191	388	611	94	543	603
ENSG00000116871	4573	2859	3069	2806	6305	3948	692	3867	6086
ENSG00000116874	199.09	961.2	732.79	314	1164.51	634	201.14	985.74	584.89
ENSG00000116882	2	2	0	0	12	110	50	2	6
ENSG00000116883	174	61	9	26	29	33	17	37	57
ENSG00000116885	52	217	50	52	124	82	38	80	95
ENSG00000116898	753	1362	659	429	1098	1477	81	1317	1118
ENSG00000116903	1301.24	1320.05	1495.05	888.8	2595.03	2317.76	605.86	2630.28	1396.92
ENSG00000116906	330	1002	966	610	1793	1013	50	1436	692
ENSG00000116918	324	1415.64	1250.25	669	2681.94	905.98	113	1912.94	585.88
ENSG00000116922	173	444	182	164	329	526	171	278	353
ENSG00000116954	226	968.24	347.63	218.36	545.51	553.19	143	548.17	479
ENSG00000116957	287	1778	785	521	1702.73	1293	74.3	1606	575.29
ENSG00000116962	11778	5077	3939	5409	14723	25317	588	13675	3680
ENSG00000116977	180.04	1212.05	2463.55	570.31	3937.42	2701.82	256.38	2222.37	1543.09
ENSG00000116981	5	29	0	2	18	0	57	0	0
ENSG00000116983	2	23	4	3	12	5	35	1	0
ENSG00000116984	4388	5403	4844	2924	10129	7196	477	15696	5107
ENSG00000116985	143.09	306.31	106.18	54.36	276.7	209.04	133.46	170.91	441.65
ENSG00000116990	712.65	312.99	569.51	553.87	476.57	7513.93	692.57	295.25	134
ENSG00000116991	878	4411	2286	2426	5036	7470	1072	3307	4981
ENSG00000116996	1	0	1	0	1	58	125	0	0
ENSG00000117000	335	2973	2514	1355	5373	7101	519	2462	1771
ENSG00000117009	2.06	49.97	106.93	24.85	204.97	98.05	106.59	32.64	5
ENSG00000117010	21	231	188	140	379	360	129	228	89
ENSG00000117013	402	566	77	33	108	13	92	152	29
ENSG00000117016	7	137	67	173	64	55	121	40	90
ENSG00000117020	138	806.06	2590.08	2065	8883.93	1516.26	47.28	1104.04	633
ENSG00000117036	750.74	1598.84	2229.51	3050.69	2906.81	3414.7	536.91	3236.74	1658.89
ENSG00000117054	338.1	1435	1533	599	1679	816	55	1881	1119
ENSG00000117069	16	172	126	60	343	162	199	146	3
ENSG00000117090	10	58	281	164	354	258	75	38	3
ENSG00000117091	23	182	897.94	290	1223	632	266.93	143	1
ENSG00000117114	160	4580	3406	992	9268	2850	415	1328	875
ENSG00000117115	398	230	295	129	243	133	173	367	184
ENSG00000117118	305	1330	729	307	1075	673	56	1549	753
ENSG00000117122	75.73	605	257	239	1442.33	211	112.58	625	240.38
ENSG00000117133	122	1002	607	182	874	495	49	717	545
ENSG00000117139	2770	5242	7617	5177	14301	2305	407	8832	9053
ENSG00000117143	149	2578	1300	1265	3625	1261	123	3154	1163
ENSG00000117148	7	12	1	2	8	0	142	40	134
ENSG00000117151	35	623.71	896.34	262.88	1262.06	898.48	162.8	511.67	393.99
ENSG00000117152	59	42	53	129	179	41	152	67	54
ENSG00000117153	530.94	2225.72	1467.63	1194.06	3038.8	1153.75	129.37	2347.42	1103.38
ENSG00000117154	135	88	307	1301	265	52	147	368	79
ENSG00000117155	36	834	493	414	801	461	93	375	939
ENSG00000117174	702	1086	1151	920	4165	739	226	1840	997
ENSG00000117215	2	5	152	40	31	64	26	7	0
ENSG00000117222	243	647	414	311	938	591	47	709	451
ENSG00000117226	146.3	313.12	1442.22	618.03	1873.77	712.58	282.1	195.31	453
ENSG00000117228	293.5	1920.62	6560.37	998.74	3146.93	2467.81	317.61	612.67	331.81
ENSG00000117242	59.11	245.57	206.16	127.14	259.12	264.33	128.57	380.23	496.23
ENSG00000117245	29	326	29	17	90	41	307	31	18
ENSG00000117262	170.12	5525.77	1800.01	1129.25	3953.95	2900.59	218.79	2446.49	1655.77
ENSG00000117266	594	834	1431	1278	1629	3508	324	423	646
ENSG00000117280	31	141	139	198	231	114	34	126	35
ENSG00000117281	5	132	104	47	162	105	62	130	44
ENSG00000117298	2708	5634	13720	9830	18008	3329	380	17653	12883
ENSG00000117305	45	540	341	213	517	295	92	317	246
ENSG00000117308	62	622	148	99	239	314	181	197	990
ENSG00000117318	266	392	405	414	1437	975	88	473	1843
ENSG00000117322	7	20	964	107	760	54	227	46	20
ENSG00000117335	1570	2624	4820	1726	5401.98	3227	155	7946	10299
ENSG00000117360	487	1873.02	2189	1385	4090.98	2054.99	147	3038	2015
ENSG00000117362	1225.23	1949.69	1392.79	1085.27	2212.31	2411.94	227.87	2141.38	1518.76
ENSG00000117385	231	1401	868	894	2452	1743	373	681	1001
ENSG00000117394	1234	1367	3000	1813	3048	7991	310	4894	5276
ENSG00000117395	1313.7	2447.53	1289.06	818.21	1639.11	3483.62	245.08	1999.81	1948.62
ENSG00000117399	461	2002.2	482.92	319.02	550.98	3215.65	121	860.85	1335.74
ENSG00000117400	16	31	7	4	31	10	152	27	15
ENSG00000117407	15	79	6	7	20	41	67	77	110
ENSG00000117408	1046	2599	812	669	1147	2439	206	1923	2067
ENSG00000117410	789	1046	488	481	810	1188	139	1225	813
ENSG00000117411	446	762	319	158	797	1038	119	463	950
ENSG00000117419	431	1835	633	560	1194	1620	155	1190	1201
ENSG00000117425	72	76	151	148	282	435	185	72	53
ENSG00000117448	1867	2490	1973	2367	2468	4889	146	1998	1645
ENSG00000117450	211.92	2587.33	876.52	483.79	1184.97	1947.75	15.25	782.42	741.65
ENSG00000117461	475.44	2271.04	647.9	330.44	1166.75	1227.33	263.02	733.71	850.14
ENSG00000117472	746	249	52	111	200	158	64	1342	548
ENSG00000117475	33	494	462	174	699	302	46	524	230
ENSG00000117477	3	325	34	15	82	21	139	26	27
ENSG00000117479	80	754	375	270	1725	511	371	263	268
ENSG00000117480	281	589	252	169	157	1202	134	1205	1899
ENSG00000117481	258	847	685	437	1072	1245	239	949	964
ENSG00000117500	147.68	1476.89	767.18	285.23	1062.29	689.05	66.07	800.25	296.25
ENSG00000117501	2	32	138	26	180	69	139	17	3
ENSG00000117505	120	1395	1107	389	1559	1166	54	1761	988
ENSG00000117507	0	0	0	0	2	0	0	0	0
ENSG00000117519	124	4800	2376	1708	9758	2396	110	3054	965
ENSG00000117523	3717	11591	21009	14313	39908	23018	601	22369	12225
ENSG00000117525	62	600	946	120	3590	123	105	126	1058
ENSG00000117528	97	1977	678	326	1320	722	35	795	669
ENSG00000117533	25	184	230	113	435	137	7	284	77
ENSG00000117543	149	563	377	348	746	381	41	803	270
ENSG00000117560	8	79	177	60	88	178	232	21	6
ENSG00000117569	41	416	398	239	1003	362	20	451	449
ENSG00000117586	11	45	186	158	307	172	123	192	11
ENSG00000117592	707	1644	596	594	1293	1884	35	1468	433
ENSG00000117593	439	2766	1293	802	2332	1910	141	2846	1015
ENSG00000117594	21	38	105	21	157	273	48	16	309
ENSG00000117595	1782	1566	1553	1249	4574	4426	225	5612	11885
ENSG00000117597	519	1143	2077	1325	3568	2194	408	3080	1391
ENSG00000117598	0	10	8	3	14	2	39.74	1	0
ENSG00000117600	7	122	257	82	869	15	489	193	48
ENSG00000117601	0	12	0	10	16	1951	165	14	5
ENSG00000117602	27	647	261	179	802	443	106	313	707
ENSG00000117614	481	1096	1304	733	1891	489	46	2084	1088
ENSG00000117616	1390	5596	9611	5597	17708	5594	525	18997	6878
ENSG00000117620	55	1140	379	174	600	382	26	571	447
ENSG00000117625	1358	3041	2549	1530	4794	2064	318	5074	2289
ENSG00000117632	1540	8694	4462	2506	5182	4595	330	3884	21522
ENSG00000117640	273.8	1414.23	754.01	450.81	1130.38	686.7	199.93	1340.9	1400.97
ENSG00000117643	185	819	479	230	1374	439	319	344	1720
ENSG00000117650	200	761.96	415	188	657	1359	202	649	512
ENSG00000117676	677	1101	1350	1064	1710	1489	197	2206	1941
ENSG00000117682	347	1479	1039	857	1727	808	217	1136	1527
ENSG00000117691	210	1205	414	325	847	1089	77	668	741
ENSG00000117697	184	1102	1023	614	1348	1276	186	968	594
ENSG00000117707	490	153	2532	1203	2769	4069	354	2381	144
ENSG00000117713	5085	18901	21307	16174	36822	16037	2282	33412	42152
ENSG00000117724	2202	9242	6285	3920	8343	16361	1116	10147	8187
ENSG00000117748	227	2143	1245	806	1818	1328	80	1558	1470
ENSG00000117751	215	699	467	358	856	505	169	631	664
ENSG00000117758	91	1143	817	406	1509	397	36	986	613
ENSG00000117791	125	615	323	177	898	362	164	71	2098
ENSG00000117834	44.46	81.73	276.12	111.7	477.82	45.37	241.32	109.17	102.42
ENSG00000117859	132	929	739	509	1709	773	113	1255	622
ENSG00000117862	193.28	639.57	463.94	264.69	570.14	416.17	107.16	623.87	382.59
ENSG00000117868	1076	7944	2609	1761	7347	4110	391	3602	3479
ENSG00000117877	922.31	621.16	400.07	420.34	327.49	1268.52	352.29	599.71	1166.88
ENSG00000117899	736.16	1409.92	1442.97	1159.12	2610.62	1293.88	230.21	1225.38	1288.83
ENSG00000117906	410	1406	877	679	1602	1020	88	1149	1583
ENSG00000117971	58	42	79	379	101	1211	342	359	53
ENSG00000117983	2382	1022	770	511.09	1723	1324.47	10428.99	756	1786
ENSG00000117984	4771.96	11578.53	9731.98	5725.67	7875.82	11723.14	236.37	8388.72	6004.29
ENSG00000118004	207	1387	35	18	328	302	172	15	34
ENSG00000118007	760	3992	3878	1594	8044	2720	116	4177	3117
ENSG00000118017	2	13	4	11	38	27	111	5	0
ENSG00000118046	3114	4435	3358	3015	5070	6069	1142	4169	6456
ENSG00000118058	3890	13218	18275.24	11766.98	34455.87	22433.54	1626.7	15261.79	16673.66
ENSG00000118094	35	18	31	34	305	26	139	46	64
ENSG00000118096	49	545	254	151	617	501	31	341	278
ENSG00000118113	0	8	0	0	7	11	63	2	0
ENSG00000118137	33	9	4	1	1	4148	84	5	1
ENSG00000118156	10	509	8	16	33	60	791	14	6
ENSG00000118160	8	60	7	5	12	10	279	10	22
ENSG00000118162	74	300	186	135	169	248	100	150	523
ENSG00000118181	6220.1	12652.18	9285.73	7672.44	20389.13	13597.65	187.52	15490.14	7934.49
ENSG00000118193	109	1471	1082	542	1519	3006	284	1100	1310
ENSG00000118194	352	60	89	44	262	92	300	379	98
ENSG00000118197	152	1814	2675	803	4062	1770	320	2770	1504
ENSG00000118200	318	5142	2810	1216	6694	4878	474	3064	1757
ENSG00000118217	588	3775	3007	2354	6538	3053	134	4313	1704
ENSG00000118231	0	0	0	1	0	0	57.45	0	0
ENSG00000118242	16	255.74	312.95	452.94	464.17	373.8	34.87	49.88	113.42
ENSG00000118245	0	0	1	0	4	0	8	0	0
ENSG00000118246	212	3321.32	1120.89	530	1888.9	1124	94.22	2180.95	956.13
ENSG00000118257	1047.98	1496.97	1692.78	1882.75	4788.17	4208.61	488.4	2112.95	1050.97
ENSG00000118260	210	1121	1399	633	2515	1484	34	1465	1230
ENSG00000118263	624	1140	1179	1153	3539.93	1344.99	208	1403	1495
ENSG00000118271	0	2	1	4	4	1146	100	2	2
ENSG00000118276	26	367	236	137	458	698	105	152	308
ENSG00000118292	35.77	155.31	186.21	96.73	410.69	63.06	21.13	101.62	59.24
ENSG00000118298	27	41	50	16	69	40	97	48	31
ENSG00000118307	22	111	19	15	53	24	76	305	139
ENSG00000118308	4368.75	103	2520.63	1045.46	3074.03	249	46.54	30847.72	19576.02
ENSG00000118322	106	1296	1498	131	1745	51	682	870	663
ENSG00000118363	479.37	2102.16	1900.29	791.14	2725.93	1236.33	82.97	1678.75	1524.82
ENSG00000118369	725	1220	853	627	2157	1228	735	1214	1596
ENSG00000118402	9	314	22	12	41	4	56	19	248
ENSG00000118407	73.83	619	392	258	1798.49	141	572.02	508	99
ENSG00000118412	316	2506	3132	1431	5023	3211	475	3107	3257
ENSG00000118418	265	455	206.98	367.98	409.92	132.91	1.18	176.97	142
ENSG00000118420	65	539	228	190	430	297	50	223	271
ENSG00000118432	2	136	128	2903	656	1219	362	46	42
ENSG00000118434	2	0	0	1	0	7	76	0	0
ENSG00000118454	345	1148	727	421	1230	838	129	937	1033
ENSG00000118473	25	177	184	329	976	126	205	579	188
ENSG00000118482	942	9585.24	8754.09	4010.15	15609.24	5004	526.92	11719.5	5497.14
ENSG00000118491	0	0	5	4	20	19	14.78	11	1
ENSG00000118492	1	57	2	3	7	0	91	7	1
ENSG00000118495	101	759	414	423	1549	203	243	422	490
ENSG00000118496	69	1844	942	528	2405	1175	233	1537	845
ENSG00000118503	643	1590	18380	36333	19077	22673	435	1233	1677
ENSG00000118507	31	487	368	144	867	965	277	116	122
ENSG00000118508	62	566	264	480	358	108	48	235	93
ENSG00000118513	154	370	1935	476	2410	13653	264	2058	7479
ENSG00000118514	44	58	115	79	143	1421	163	115	62
ENSG00000118515	489	2493	8189	17940	10768	5370	437	2825	1212
ENSG00000118518	75	1458	864	491	2810	663	161	1093	710
ENSG00000118520	14	79	42	21	117	911	91	70	21
ENSG00000118523	1108.92	2488.3	3058.57	4196.81	23315.52	1465.9	209.44	3191.76	960.62
ENSG00000118526	343.71	126	27.67	14	42.9	53.91	164.61	3	9
ENSG00000118557	40.55	226.77	68.17	107.33	107.08	196.43	186.01	67.4	119.12
ENSG00000118564	345	3277	3169	1626	5803	3393	143	2864	1753
ENSG00000118579	546.65	1079.11	1318.82	989.31	1989.14	1910.24	152.48	1784.14	1629.05
ENSG00000118596	22	92	199	50	593	72	109	154	115
ENSG00000118600	298	976	539	422	1165.99	1175	225	1750	519
ENSG00000118620	279.93	1023.11	1321	515.02	4356.5	1727.91	603.92	2451.89	1187.17
ENSG00000118640	1250	1272	1322	740	1851	1308	44	1885	1010
ENSG00000118655	323	1000	467	303	931	1291	469	727	826
ENSG00000118680	703.87	6614.36	4943.12	2263.39	9880.87	4695.2	100	6366.52	4652.13
ENSG00000118689	1320.41	4252.47	3341.5	2175.44	6676.89	3882.61	1278.31	3129.98	3283.74
ENSG00000118690	52	971	264	207	886	275	155	311	205
ENSG00000118702	6	17	0	3	15	1	1	2	0
ENSG00000118705	2117.8	22204.94	5884.95	3283.99	8516.41	10452.96	137.12	6725.97	9389.52
ENSG00000118707	410.25	986.06	1284.44	1144.5	1916.97	6539.68	163.84	455.24	1682.78
ENSG00000118729	5	8	26	4	101	5	48	15	2
ENSG00000118733	2	6	2	14	2	0	136	0	0
ENSG00000118762	225	809	2554	1404	7075	957	243	1398	2154
ENSG00000118777	14	152	89	14	312	90	65	74	124
ENSG00000118785	940	4858	1537	3646	11195	4615	182	5966	2731
ENSG00000118804	10.99	164.65	67.77	6.36	105.82	118.36	149.68	76.07	48.07
ENSG00000118816	2500	9523	5643	4393	11584	9834	263	10588	5739
ENSG00000118849	21	100	225	51.01	295.75	80	53.17	124	30.17
ENSG00000118855	185	1902	2002	772.99	3269.25	2023	146.83	2022	692.83
ENSG00000118873	353.35	1388.61	1959.58	1381.2	3079.94	1268.25	114.97	1901.75	1000.07
